modello,accuracy,precision,recall,f1,fpr,auroc,n_falsi_positivi,n_falsi_negativi
baseline,0.5,0.0,0.0,0.0,0.0,,0,2498
stilometrico,0.9191353082465973,0.9208199356913184,0.9171337069655725,0.918973124749298,0.0788630904723779,0.9706931277608155,197,207
tfidf,0.9707766212970377,0.9734299516908212,0.9679743795036029,0.9706945002007226,0.02642113690952762,0.9961758037334593,66,80
