modello,accuracy,precision,recall,f1,fpr,n_falsi_positivi,n_falsi_negativi,auroc,tolleranza,n_coppie,mattr_FP,mattr_VN,H2_direzione_attesa
0.3,0.9114814814814814,0.9005046863734679,0.9251851851851852,0.9126781147241505,0.10222222222222223,138,101,0.9662556927297667,0.3,5397,0.6116035463194106,0.6829207178230012,True
0.4,0.9188191881918819,0.9093250901597115,0.9304164470216131,0.9197498697238145,0.09277807063784924,176,132,0.9686826215351543,0.4,7585,0.6182127006219807,0.6891047132751791,True
0.5,0.9191353082465973,0.9208199356913184,0.9171337069655725,0.918973124749298,0.0788630904723779,197,207,0.9706931277608155,0.5,9990,0.6151373753194331,0.6888814574755587,True
nessuna,0.9267414343039407,0.9278996865203761,0.9470316388197654,0.9373680506685432,0.10114830197898851,414,298,0.9745716568975028,nessuna,22629,0.6188189156104363,0.7091020098342301,True
