trasformazione,n_valutati,riconosciuti,recall,prob_media,calo_recall
originale,2498,2291,0.9171337069655725,0.8659586518624189,0.0
spezza frasi,2498,1920,0.7686148919135308,0.7212733709477831,0.14851881505204167
togli connettivi,2498,2255,0.9027221777421938,0.8516052228579782,0.014411529223378738
aggiungi contrazioni,2498,2284,0.9143314651721377,0.8635521202339641,0.002802241793434801
tutte insieme,2498,1844,0.7381905524419535,0.6921228461871417,0.17894315452361897
