soglia,accuracy,recall,fpr,n_falsi_positivi,n_falsi_negativi
0.5,0.9191353082465973,0.9171337069655725,0.0788630904723779,197,207
0.6,0.9117293835068054,0.8875100080064051,0.06405124099279423,160,281
0.7,0.9041232986389112,0.8542834267413931,0.04603682946357086,115,364
0.8,0.8843074459567654,0.7990392313851081,0.03042433947157726,76,502
0.9,0.8294635708566853,0.677341873498799,0.018414731785428344,46,806
0.95,0.7660128102481986,0.5412329863891113,0.009207365892714172,23,1146
