,umano,macchina,rapporto
punt_per_100parole_puntovirgola,0.1000364054158574,0.002996133543110053,0.02995043185183378
em_dash_per_100parole,0.011257893303808327,0.0008412839816124971,0.07472836692526719
en_dash_per_100parole,0.01171840007360647,0.0017817745612945036,0.15204930281460705
punt_per_100parole_parentesi,0.8370051791727489,0.21564739803284133,0.25764165312092296
ratio_pron_prima_persona,0.010800190179921143,0.003186941190600994,0.29508195110544466
punt_per_100parole_interrogativo,0.15695557635614257,0.04971055788635131,0.3167173734149768
pos_adv,0.050764290372623415,0.034108069185496435,0.6718909874467686
hapax_ratio,0.44259556761597185,0.32878645029765197,0.7428597897368259
lung_frase_std,9.375752650699134,7.567858534414086,0.8071734415742893
n_frasi,9.427827827827828,8.055555555555555,0.8544444916333984
pos_pron,0.08528194274818265,0.07555894938185384,0.8859900108626921
punt_per_100parole_duepunti,0.3405853684981403,0.30429251130982854,0.8934397641673502
mattr,0.6825928897233785,0.6107124357405622,0.8946949857448033
entropia,6.147308700329466,5.984462244292202,0.9735093088738921
punt_per_100parole_virgola,4.802632698148574,4.829875397126849,1.0056724510680939
pos_adp,0.0924353170978058,0.092991805967435,1.0060203057348782
lung_parola_media,4.533322666467325,4.634218991809985,1.0222565947244353
pos_verb,0.1139920503758939,0.1189090783265053,1.0431348320729146
pos_sconj,0.02550810236211502,0.02671886716096946,1.0474658907066596
pos_noun,0.1923416908639908,0.21314325538706605,1.108149015585937
pos_adj,0.06995584056284951,0.079715903364354,1.1395174830718513
prof_albero_media,2.807887665318908,3.2291122092937985,1.1500147421058062
lung_frase_media,19.373750621605165,23.255249563165464,1.2003483485139805
subordinate_per_frase,1.4519696326059026,1.8663408248971975,1.2853855776223142
pos_cconj,0.0308756260133741,0.04163867420886952,1.34859368327733
punt_per_100parole_esclamativo,0.06437098622125627,0.08837401699779966,1.3728858634236247
coordinate_per_frase,0.7986398348701592,1.191473989449547,1.491878989035469
ratio_hedging,0.009256734896635626,0.015627291512590676,1.6882077414003116
tripletta_per_100parole,0.09504030731875973,0.19107632208143818,2.0104766858610756
ratio_connettivi,0.001114712258500164,0.002689608841527879,2.4128279033611104
