feature,media_FP,media_VN,media_macchina,p_value,delta_cliff,p_corretto,significativo,effetto_assoluto
mattr,0.6151373753194331,0.6888814574755587,0.6113421526162829,2.5728570889930826e-43,-0.5915481461381832,7.718571266979248e-42,True,0.5915481461381832
hapax_ratio,0.3632697009603474,0.44858116923005925,0.3281336606504562,2.7750480542246235e-25,-0.44536584182114597,4.162572081336935e-24,True,0.44536584182114597
pos_adv,0.03782253472568405,0.052358921668442984,0.0341737994068699,9.599291533473651e-20,-0.3898150660604416,9.59929153347365e-19,True,0.3898150660604416
entropia,5.911760709372671,6.181111878200982,5.993415183653746,9.575712161638194e-16,-0.3443239200788887,7.181784121228646e-15,True,0.3443239200788887
punt_per_100parole_parentesi,0.35028101571297304,0.8688243654018704,0.21589030131185805,1.4122059437072083e-15,-0.3330906668255029,8.473235662243251e-15,True,0.3330906668255029
coordinate_per_frase,1.083646084597861,0.7687530817226289,1.1833142941933537,3.4318776003237523e-13,0.31177131108302064,1.7159388001618761e-12,True,0.31177131108302064
lung_frase_media,23.12029307741461,19.120939831851135,23.291513571081435,2.625461209928747e-12,0.2999225673234105,1.1251976613980343e-11,True,0.2999225673234105
prof_albero_media,3.150835150794734,2.7822444346142845,3.239922412742278,6.31749644352027e-11,0.2801871620593121,2.369061166320101e-10,True,0.2801871620593121
pos_cconj,0.03764971814417475,0.029921501243493236,0.04107291100915241,3.755342889508947e-10,0.2685193151509937,1.2517809631696491e-09,True,0.2685193151509937
ratio_pron_prima_persona,0.005601492872381625,0.010969541629884179,0.003254491319943694,5.583381908286796e-09,-0.23671897232939992,1.675014572486039e-08,True,0.23671897232939992
subordinate_per_frase,1.9477207428946757,1.4200283096053945,1.8677841162688484,1.3991324859122658e-07,0.225644555335685,3.815815870669816e-07,True,0.225644555335685
n_frasi,7.5786802030456855,9.732290308561495,8.141713370696557,1.857136556740294e-07,-0.2228671268506079,4.642841391850735e-07,True,0.2228671268506079
lung_frase_std,8.269486848373107,9.367619720381933,7.496878400882544,0.00765165999327079,-0.1143334281938773,0.01530331998654158,True,0.1143334281938773
punt_per_100parole_puntovirgola,0.013204404404023167,0.11239210422274015,0.0013113103780071716,1.1599537365587391e-05,-0.10735566306417206,2.676816315135552e-05,True,0.10735566306417206
pos_verb,0.11912031782469705,0.11380965021043014,0.11843808535159568,0.015893266439039214,0.1033715202174292,0.029799874573198527,True,0.1033715202174292
ratio_hedging,0.012109951042265543,0.008719358909083826,0.01572704864652837,0.01936270705395314,0.09830199626293577,0.034053707244728594,True,0.09830199626293577
pos_noun,0.20043779786719312,0.19116538146114892,0.21366092291697714,0.05734815945094592,0.0814785890928023,0.0860222391764189,False,0.0814785890928023
ratio_connettivi,0.0020254506945305457,0.001062049255346008,0.0028121010343841596,0.003509139447462525,0.08120062563837838,0.007519584530276839,True,0.08120062563837838
tripletta_per_100parole,0.18020714766955698,0.09025975268051598,0.1887726059485699,0.020432224346837155,0.058634846469312614,0.034053707244728594,True,0.058634846469312614
pos_pron,0.08220371023112547,0.08584371478908731,0.07521747374259295,0.21561274573034594,-0.053084401617482575,0.2812340161700164,False,0.053084401617482575
pos_sconj,0.026677628085249226,0.02540625311127764,0.026748078380047773,0.239284978590093,0.05044595485961743,0.29910622323761626,False,0.05044595485961743
punt_per_100parole_interrogativo,0.10845524535173692,0.15841311398347327,0.05198322282491813,0.09598450706167365,-0.04498375237427117,0.1371207243738195,False,0.04498375237427117
lung_parola_media,4.540892162752234,4.535528017583123,4.636941329658246,0.452755144900318,-0.032188609234122444,0.52240978257729,False,0.032188609234122444
pos_adj,0.07410048036210157,0.06966958932533418,0.0793569230079371,0.4753960682712639,0.030598040578252227,0.5282178536347376,False,0.030598040578252227
punt_per_100parole_esclamativo,0.13732514251455,0.06043658635489042,0.08449925859444582,0.1210606480599222,0.030549507276686146,0.1650827018998939,False,0.030549507276686146
pos_adp,0.0934004525653734,0.09264484200841185,0.09333392016426464,0.5781079722762564,0.023843087423918535,0.6194013988674176,False,0.023843087423918535
en_dash_per_100parole,0.0,0.015187379516255681,0.0020835440286704407,0.053023922064103765,-0.018687527162103434,0.08372198220647964,False,0.018687527162103434
punt_per_100parole_duepunti,0.34586309958345873,0.32776194385657637,0.30433662515360554,0.6616505272485691,-0.015735820003220845,0.6844660626709336,False,0.015735820003220845
em_dash_per_100parole,0.002714514509080051,0.011546842831302502,0.0007411243614998121,0.33262914765403095,-0.007966079634323633,0.3991549771848371,False,0.007966079634323633
punt_per_100parole_virgola,4.804311643279765,4.736689758725982,4.808490032092378,0.9476027358391691,0.0028193436091569104,0.9476027358391691,False,0.0028193436091569104
