parola,doc_freq_umano,doc_freq_macchina,delta
likely,0.07167167167167167,0.053753753753753755,-0.017917917917917914
b,0.027227227227227226,0.00960960960960961,-0.01761761761761762
side,0.04034034034034034,0.022722722722722723,-0.01761761761761762
i'd,0.023023023023023025,0.005405405405405406,-0.01761761761761762
ones,0.030930930930930932,0.013413413413413414,-0.017517517517517518
itself,0.043343343343343346,0.025925925925925925,-0.01741741741741742
full,0.04134134134134134,0.023923923923923923,-0.017417417417417418
half,0.022222222222222223,0.005105105105105105,-0.01711711711711712
bunch,0.023423423423423424,0.006306306306306306,-0.017117117117117116
top,0.03423423423423423,0.017117117117117116,-0.017117117117117116
extremely,0.022022022022022022,0.005305305305305305,-0.016716716716716717
post,0.021621621621621623,0.004904904904904905,-0.016716716716716717
free,0.04584584584584585,0.02922922922922923,-0.01661661661661662
around,0.1032032032032032,0.08658658658658659,-0.016616616616616606
bank,0.04484484484484484,0.02832832832832833,-0.016516516516516512
real,0.05565565565565565,0.03923923923923924,-0.01641641641641641
came,0.022322322322322324,0.006006006006006006,-0.016316316316316318
c,0.025925925925925925,0.00960960960960961,-0.016316316316316318
numbers,0.037037037037037035,0.02072072072072072,-0.016316316316316314
her,0.022722722722722723,0.006606606606606606,-0.016116116116116116
normally,0.022922922922922924,0.006906906906906907,-0.016016016016016016
complicated,0.02072072072072072,0.004704704704704705,-0.016016016016016016
source,0.04064064064064064,0.024724724724724725,-0.01591591591591592
low,0.056156156156156156,0.04024024024024024,-0.015915915915915915
took,0.023023023023023025,0.007307307307307307,-0.015715715715715717
wants,0.025625625625625627,0.01001001001001001,-0.015615615615615617
notice,0.02132132132132132,0.005905905905905906,-0.015415415415415416
yet,0.025325325325325325,0.00990990990990991,-0.015415415415415416
she,0.02142142142142142,0.006206206206206206,-0.015215215215215214
yourself,0.03393393393393394,0.01881881881881882,-0.015115115115115117
add,0.03563563563563563,0.02052052052052052,-0.015115115115115114
exact,0.02062062062062062,0.005705705705705706,-0.014914914914914914
